Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
27,tt6710474,2025-10-29,2025-10-29,,"Todo en todas partes al mismo tiempo","Everything Everywhere All at Once",https://www.imdb.com/title/tt6710474/,Movie,7.7,139,2022,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",603783,2022-06-23,"Daniel Kwan, Daniel Scheinert",7,2022-05-26
28,tt7681902,2025-10-29,2025-10-29,,"Won't You Be My Neighbor?","Won't You Be My Neighbor?",https://www.imdb.com/title/tt7681902/,Movie,8.3,95,2018,"Documentary, Biography, History",27895,2018-06-29,"Morgan Neville",7,2022-06-16
29,tt4846340,2025-10-29,2025-10-29,,"Talentos ocultos","Hidden Figures",https://www.imdb.com/title/tt4846340/,Movie,7.8,127,2016,"Biography, Drama, History",282750,2017-01-06,"Theodore Melfi",7,2017-03-06
30,tt13352968,2025-10-29,2025-10-29,,"Buena suerte, Leo Grande","Good Luck to You, Leo Grande",https://www.imdb.com/title/tt13352968/,Movie,7.2,97,2022,"Comedy, Drama",43283,2022-06-17,"Sophie Hyde",8,2022-07-13
31,tt12262116,2025-10-29,2025-10-29,,"Thirteen Lives","Thirteen Lives",https://www.imdb.com/title/tt12262116/,Movie,7.8,147,2022,"Biography, Drama, Thriller",76959,2022-08-05,"Ron Howard",7,2022-08-31
32,tt3704428,2025-10-29,2025-10-29,,"Elvis","Elvis",https://www.imdb.com/title/tt3704428/,Movie,7.3,159,2022,"Biography, Drama, Music",256195,2022-06-23,"Baz Luhrmann",7,2022-09-09
33,tt3319730,2025-10-29,2025-10-29,,"Un viaje extraordinario","The Mercy",https://www.imdb.com/title/tt3319730/,Movie,6.0,112,2018,"Adventure, Biography, Drama, Mystery",10279,2018-08-30,"James Marsh",6,2025-10-29
34,tt2876428,2025-10-29,2025-10-29,,"Guten Tag, Ramón","Guten Tag, Ramón",https://www.imdb.com/title/tt2876428/,Movie,7.6,120,2013,"Drama",3116,2014-11-06,"Jorge Ramírez Suárez",7,2022-12-15
35,tt1583323,2025-10-29,2025-10-29,,"Miesten vuoro","Miesten vuoro",https://www.imdb.com/title/tt1583323/,Movie,7.8,81,2010,"Documentary",2758,2010-03-26,"Joonas Berghäll, Mika Hotakainen",7,2022-12-23
36,tt2758062,2025-10-29,2025-10-29,,"El Viaje del Acordeón","El Viaje del Acordeón",https://www.imdb.com/title/tt2758062/,Movie,6.9,79,2013,"Documentary, Music",66,2014-10-02,"Rey Sagbini, Andrew Tucker",7,2022-12-28
